Title,url,year
THE OPEN 2023 - Rising Star - Noé Roche & Cyndie Petit,https://www.youtube.com//watch?v=UCKM_i4gTjw,2023
THE Open 2023 - Philippe and Flore Berne - Pregnancy Classic Routine,https://www.youtube.com//watch?v=vcuCXEK8l9I,2023
West Coast Swing Classic Routine - Joel Torgeson & Larisa Tingle - US Open 2023 6th place,https://www.youtube.com//watch?v=-xZHNd5huYA,2023
FOWCS 2023 - YOUNG ADULT ROUTINE - Lise Marie AICI MIRA & Mattéo BERNARDI - 3rd place,https://www.youtube.com//watch?v=mZVat0y7vs4,2023
Jakub Jakoubek & Emeline Rochefeuille - Classic 3rd Place - The Open 2023,https://www.youtube.com//watch?v=PGlNXhx2LMY,2023
Showcase West Coast Swing - Lionel & Amandine Giannone | NOW 2023,https://www.youtube.com//watch?v=V-dYzYI3avM,2023
FOWCS 2023 - YOUNG ADULT ROUTINE - Nina PERGA & Diego DAQUIN - 1st place,https://www.youtube.com//watch?v=Z-MxeOZ7RVc,2023
MADjam 2023 Rising Star Edem Attikese & Jes Ann Nail,https://www.youtube.com//watch?v=9dOsoosxjyM,2023
"PJ Turner and Mia Pastor 2023 Showcase The Open 2nd Place ""Bad to the Bone""",https://www.youtube.com//watch?v=-BIymAGJl24,2023
Tschen Fung Wang & Stella Maria Schletterer -  2nd place All-Stars J&J - Westie Spring Thing 2023,https://www.youtube.com//watch?v=SHKdKtDySw4,2023
Jaden Pfeiffer & Mackenzie Keister |1st Place Rising Star| The Open Swing Dance Championships 2023,https://www.youtube.com//watch?v=uM8wjK-CygM,2023
US Open Rising Star 2023 - Brad Gallow and Mirabella Gibson,https://www.youtube.com//watch?v=uZoyyB1K4Q0,2023
FOWCS 2023 - JUNIOR ROUTINE - Billie MASSART & Tommy DAQUIN - 2nd place,https://www.youtube.com//watch?v=M_m3MPxEW7g,2023
FOWCS 2023 - JUNIOR ROUTINE - Elisa MORIN & Mikele DA SILVA BOIS - 1st place,https://www.youtube.com//watch?v=D2AfvrSrbC8,2023
FOWCS 2023 - YOUNG ADULT ROUTINE - Gabriel VOLPEI & Mathias MESTRE - 2nd place,https://www.youtube.com//watch?v=pQxiZpGJFuM,2023
"Kevin + Nataliya Kane 5th Place Showcase division ""The Open Swing Dance Championship"" 2023",https://www.youtube.com//watch?v=-Khc21t4IIs,2023
Jakub Jakoubek & Emeline Rochefeuille - TikTok Challenge - 5280 Westival 2023,https://www.youtube.com//watch?v=bSiFuEn1RcY,2023
Sean McKeever & Alyssa Glanville - W.O.W. World of West Coast Swing - SwingTime 2023,https://www.youtube.com//watch?v=FcMh2NhEYow,2023
KP Rutland & Bryn Anderson - W.O.W. World of West Coast Swing - SwingTime 2023,https://www.youtube.com//watch?v=2pAbUFUP9mY,2023
Thibault and Nicole Ramirez - Showcase Champions 2023 - The Open Swing Dance Championships,https://www.youtube.com//watch?v=hFjTChYOpG0,2023
Capital Swing 2023 All-Stars JnJ - Hannah Guttman & Samantha Buckwalter,https://www.youtube.com//watch?v=dmlHh_cniUo,2023
The Chicago Classic 2023 - Jack & Jill Champion Finals - Matt Auclair & Emily Huang,https://www.youtube.com//watch?v=b1LAu1baREE,2023
Chantelle Pianetta & Joel Torgeson | Showcase Routine | The Open 2023 | West Coast Swing,https://www.youtube.com//watch?v=b384q4bHRBA,2023
GGP 2023 - SHOWCASE - Nicole & Thibault RAMIREZ - 1st place,https://www.youtube.com//watch?v=KuVLp7fJxDk,2023
The Austin 8 Team- The US OPEN 2023 Winners,https://www.youtube.com//watch?v=cQzLbQHA9TM,2023
DCSX 2022 Rising Star Kyle FitzGerald & Danika Dahl,https://www.youtube.com//watch?v=wrcV3RkNMnw,2022
"Jakub Jakoubek & Cameo McHenry ""The Sound of Silence"" - The After Party TAP 2022",https://www.youtube.com//watch?v=xqEaHw-1_Fo,2022
OPEN 2022  - Showcase  - Larisa Tingle and Stephen White,https://www.youtube.com//watch?v=XGfM1ynH-hY,2022
"""Get Right"" Unit Dance Festival 2022 - Thibault & Nicole (Ultimate Choreography)",https://www.youtube.com//watch?v=IJ71erd7KKw,2022
"Thiault Ramirez & Nicole Ramirez (Clonch) ""Rule The World"" - Routines - SwingVester 2022/23",https://www.youtube.com//watch?v=y6oHXKOa3qM,2022
West Coast Swing Routine - Ben Morris & Laureen Baldovi - Stagecoach Country Festival Honkytonk 2022,https://www.youtube.com//watch?v=CnG62APYl5A,2022
Swing Fling 2022 Superstar Show Bonnie Cannon & Jérome Subey,https://www.youtube.com//watch?v=CAJVhwFWByY,2022
Ats Nisov & Emeline Rochefeuille - Revolutionary Jack&Jill - Berlin Swing Revolution 2022,https://www.youtube.com//watch?v=Px8WgXDpwr8,2022
"Kyle FitzGerald & Danika Dahl ""Avalon"" - Rising Star - 1st Place - The Open 2022",https://www.youtube.com//watch?v=KSuLL9WMv10,2022
OPEN 2022   1ST PLACE   CABARET   Alyenendrov Tsorokean and Maria Tsorokean,https://www.youtube.com//watch?v=ghw9iQaegcw,2022
OPEN 2022 Classic Division - Larisa Tingle and Christopher Dumond,https://www.youtube.com//watch?v=GhSk0ZHTywg,2022
Philipp Wolff & Igor Pitangui - 1st place Jack&Jill All-Stars/Champions final - Budafest 2022,https://www.youtube.com//watch?v=F8yV_35MQPw,2022
